ID,Page,Product_Title,Price_Formatted,Raw_Price,Description,Image_Path
WS-011,4,Glaze Seat Cushion (Grey) (Imp),"₹8,500",8500,Glass filled nylon back with mesh and fabric seat. Fixed PP armrest attached with the back. Fixed Lumbar support. Center tilt with single position lock. 650mm nylon base with 60mm nylon castors & class 4 Gas lift.,/extracted_product_images/workstation_011.jpg
WS-012,5,Omega (Grey) (Ind),"₹10,000",10000,Glassfilled nylon mesh back with fixed lumbar support & fabric seat. Fix PP armrest. Center tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslft. (without seat outer).,/extracted_product_images/workstation_012.jpg
WS-013,5,Octa,"₹10,500",10500,Glass filled Nylon back with Fabric Mesh. Fixed PP armrest attached with back. Fix lumbar support. Center tilt mechanism with single position lock. 650mm nylon base with twin wheel nylon castors & class 4 gas lift.,/extracted_product_images/workstation_013.jpg
WS-014,5,Winner Grey (Imp),"₹14,500",14500,Glass flled nylon mesh back with adjustable lumbar support & fabric seat. Nylon armrest with PU pad with flipping movement. Center tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslit.,/extracted_product_images/workstation_014.jpg
WS-015,5,Winner Blk (Imp),"₹13,750",13750,Glass filled nylon mesh back with adjustable lumbar support & fabric seat. Nylon armrest with PU pad with flipping movement. Center tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslf.,/extracted_product_images/workstation_015.jpg
WS-016,6,Eco,"₹10,000",10000,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_016.jpg
WS-017,6,Eco,"₹8,700",8700,Classfilled nylon mesh back with fixed lumbar support & fabric seat. 2D Adjustable PU pad armrest. Synchro tilt mechanism with single position lock. Auto weight mechanism available at additional cost. 650mm chrome base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_017.jpg
WS-018,6,Zen (Grey (Ind),"₹8,800",8800,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_018.jpg
WS-019,6,Zen (Black) (Ind),"₹8,000",8000,Glass flled nylon mesh back with fixed lumbar support & fabric seat. 2D Adjustable PU pad armrest. Synchro tilt mechanism with single position lock. Auto weight mechanism available at additional cost. 650mm nylon base with 60 mm nylon castors & class 4 galift.,/extracted_product_images/workstation_019.jpg
WS-020,6,Time Grey (Ind),"₹8,600",8600,Glassfilled nylon mesh back with fixed lumbar support & fabric seat. Adjustable PP armrest. Center tilt synchro mechanism with single position lock. 650mm chrome base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_020.jpg
WS-021,6,Time Blk (Ind),"₹7,300",7300,Glass flled nylon mesh back & fabric seat. Adjustable PP armrest. Center tilt synchro mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslft.,/extracted_product_images/workstation_021.jpg
WS-022,7,Vista Black (Ind),"₹7,900",7900,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_022.jpg
WS-023,7,Vista Grey (Ind),"₹9,700",9700,Glass flled nylon mesh back with fixed lumbar support & fabric seat. 2D Adjustable PP armrest. Synchro tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslit. VISTA DLX : With grey body & chrome base.,/extracted_product_images/workstation_023.jpg
WS-024,7,Karina Dlx (Ind),"₹7,600",7600,Glassfilled nylon mesh back with fixed lumbar support & fabric seat. Fix/ Adjustable PP armrest. Synchro tit mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_024.jpg
WS-025,7,Polo Eco (Ind),"₹6,700",6700,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_025.jpg
WS-026,7,Polo Dlx (Ind),"₹7,200",7200,Glass flled nylon mesh back with fixed lumbar support & fabric seat. Fix/ Adjustable PP armrest. Synchro tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslit.,/extracted_product_images/workstation_026.jpg
WS-027,7,Eon Dlx (Ind),"₹7,900",7900,Glassfilled nylon mesh back with fixed lumbar support & fabric seat. Fix/ Adjustable PP armrest. Synchro tit mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_027.jpg
WS-028,8,Ergon Blk (Ind),"₹9,500",9500,Glass filled nylon mesh back with adjustable lumbar support & fabric seat. Adjustable PP armrest. Synchro tit mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslft.,/extracted_product_images/workstation_028.jpg
