ID,PDF_File,Category,Page,Product_Title,Price_Formatted,Raw_Price,Line_Text
FURN-00092,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,31,Kitkat,"₹52,000",52000,"KitKat | KITKAT | ₹52,000"
FURN-00093,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,32,Barcelona,"₹74,000",74000,"BARCELONA | Bold design. | ₹74,000"
FURN-00094,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,33,Futon,"₹45,500",45500,"FUTON | Simple comfort.Modern living. | ₹45,500"
FURN-00095,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,34,Havoc,"₹45,500",45500,"HAVOC | Bold by design. | ₹45,500"
FURN-00096,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,35,Aero,"₹42,000",42000,"AERO | Elevate your space. | ₹42,000"
FURN-00097,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,36,Crystal,"₹65,000",65000,"CRYSTAL | Sophisticated Comfort. | ₹65,000"
FURN-00098,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,37,Nero,"₹58,000",58000,"NERO | Bold by design. | ₹58,000"
FURN-00099,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,38,Benz,"₹56,000",56000,"BENZ | Modern design. | ₹56,000"
FURN-00100,DINNING PRICELIST -AUG26 .pdf,dining,1,26,₹0,0,26000/-
FURN-00101,DINNING PRICELIST -AUG26 .pdf,dining,2,31,₹0,0,31000/-
FURN-00102,DINNING PRICELIST -AUG26 .pdf,dining,2,28,₹750,750,28750/-
FURN-00103,DINNING PRICELIST -AUG26 .pdf,dining,2,32,₹0,0,32000/-
FURN-00104,DINNING PRICELIST -AUG26 .pdf,dining,3,17,₹0,0,17000/-
FURN-00105,DINNING PRICELIST -AUG26 .pdf,dining,3,21,₹500,500,21500/-
FURN-00106,DINNING PRICELIST -AUG26 .pdf,dining,3,21,₹0,0,21000/-
FURN-00107,DINNING PRICELIST -AUG26 .pdf,dining,4,22,₹0,0,22000/-
FURN-00108,DINNING PRICELIST -AUG26 .pdf,dining,4,26,₹0,0,26000/-
FURN-00109,DINNING PRICELIST -AUG26 .pdf,dining,4,42,₹0,0,42000/-
FURN-00110,DINNING PRICELIST -AUG26 .pdf,dining,5,17,₹0,0,17000/-
FURN-00111,DINNING PRICELIST -AUG26 .pdf,dining,5,26,₹0,0,26000/-
FURN-00112,DINNING PRICELIST -AUG26 .pdf,dining,5,22,₹0,0,22000/-
