ID,Folder,PDF_File,Category,Page,Product_Title,Price_Formatted,Raw_Price,Image_Path,Line_Text
EXT-0093,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,5,29,₹0,0,/extracted_product_images/EXT-0093.jpg,: 29000/-
EXT-0094,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,5,29,₹0,0,/extracted_product_images/EXT-0094.jpg,: 29000/-
EXT-0095,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,5,28,₹0,0,/extracted_product_images/EXT-0095.jpg,: 28000/-
EXT-0096,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,6,30,₹500,500,/extracted_product_images/EXT-0096.jpg,: 30500/-
EXT-0097,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,6,28,₹500,500,/extracted_product_images/EXT-0097.jpg,: 28500/-
EXT-0098,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,7,24,₹500,500,/extracted_product_images/EXT-0098.jpg,: 24500/- | MB : 23500/-
EXT-0099,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,7,23,₹500,500,/extracted_product_images/EXT-0099.jpg,: 23500/-  | MB : 22500/-
EXT-0100,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,7,32,₹0,0,/extracted_product_images/EXT-0100.jpg,: 32000/-
EXT-0101,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,7,31,₹0,0,/extracted_product_images/EXT-0101.jpg,: 31000/-
EXT-0102,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,8,16,₹200,200,/extracted_product_images/EXT-0102.jpg,: 16200/- |MB : 15300/-
EXT-0103,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,8,(Ind/Eco) 10,₹500,500,/extracted_product_images/EXT-0103.jpg,(IND/ECO) 10500/- |MB : 9
EXT-0104,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,8,11,₹500,500,/extracted_product_images/EXT-0104.jpg,: 11500/- | MB :10500/-
